Player,total_attack_attempts,total_attack_errors,total_kills,avg_attack_error_rate,avg_attempts_per_kill,avg_attack_success_rate,system_state
"Vandenberg, Lauren",147,19,33,0.1292517006802721,4.454545454545454,0.8707482993197279,WEAK ATTACKER
"Nolte, Selena",3758,621,1469,0.16524747205960616,2.5582028590878148,0.8347525279403938,STRONG ATTACKER
"Weaver, Skylar",50,5,3,0.1,16.666666666666668,0.9,WEAK ATTACKER
"Cassady, Bridget",668,90,217,0.1347305389221557,3.078341013824885,0.8652694610778443,STRONG ATTACKER
"Bishop, Caitlin",481,41,105,0.08523908523908524,4.580952380952381,0.9147609147609148,WEAK ATTACKER
"Childers, Morgan",921,151,243,0.16395222584147665,3.7901234567901234,0.8360477741585234,STRONG ATTACKER
"Flowers, Hailey",1420,124,570,0.08732394366197183,2.491228070175439,0.9126760563380282,STRONG ATTACKER
"Harris, Raquel",4,0,1,0.0,4.0,1.0,STRONG ATTACKER
"Herman, Kaileen",661,55,234,0.0832072617246596,2.824786324786325,0.9167927382753404,STRONG ATTACKER
"Kennelly, Payton",98,17,20,0.17346938775510204,4.9,0.826530612244898,WEAK ATTACKER
"Jackson, Iyannah",1239,129,542,0.10411622276029056,2.2859778597785976,0.8958837772397095,STRONG ATTACKER
"Humm, Delaney",1146,178,512,0.15532286212914484,2.23828125,0.8446771378708552,STRONG ATTACKER
"Minick, Lauren",76,13,24,0.17105263157894737,3.1666666666666665,0.8289473684210527,STRONG ATTACKER
"Hannewald, Karlyn",1532,180,431,0.1174934725848564,3.554524361948956,0.8825065274151436,STRONG ATTACKER
"Smith, Elise",0,0,0,NaN,,NaN,WEAK ATTACKER
"Voorhees, Addison",791,131,260,0.16561314791403287,3.042307692307692,0.8343868520859672,STRONG ATTACKER
"Waedekin, Danielle",14,1,6,0.07142857142857142,2.3333333333333335,0.9285714285714286,STRONG ATTACKER
"Buchman, Kendall",16,3,2,0.1875,8.0,0.8125,WEAK ATTACKER
"Hubly, Savannah",3,1,0,0.3333333333333333,,0.6666666666666667,WEAK ATTACKER
"Richardson, Arika",48,11,18,0.22916666666666666,2.6666666666666665,0.7708333333333334,WEAK ATTACKER
"Ochs, Carly",1151,122,344,0.10599478714161599,3.3459302325581395,0.894005212858384,STRONG ATTACKER
"Santel, Alayna",2084,271,851,0.1300383877159309,2.4488836662749707,0.8699616122840691,STRONG ATTACKER
"Jones, Gaylnn",722,91,195,0.1260387811634349,3.7025641025641027,0.8739612188365651,STRONG ATTACKER
"Rudsinski, Kylie",3216,443,1243,0.13774875621890548,2.587288817377313,0.8622512437810945,STRONG ATTACKER
"Ferchen, Cara",35,3,7,0.08571428571428572,5.0,0.9142857142857143,WEAK ATTACKER
"Foster, Trysta",14,2,4,0.14285714285714285,3.5,0.8571428571428572,STRONG ATTACKER
"Young, Brooklyn",614,116,192,0.18892508143322476,3.1979166666666665,0.8110749185667753,STRONG ATTACKER
"Vollmer, Amanda",540,74,208,0.13703703703703704,2.5961538461538463,0.8629629629629629,STRONG ATTACKER
"Copeland, Hannah",2036,276,941,0.13555992141453832,2.1636556854410203,0.8644400785854617,STRONG ATTACKER
