Year,Jersey,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE
2025,1,"Hartman, Lydia",112,31,9,25,0.22,1,0.01,0,7,0.143,11,0.1,24,0.21,39,245,2.19,24,417,0.942,0.21,0,0,0,0,0,0
2025,2,"Edson, Rylee",68,18,7,17,0.25,0,0,0,2,0,9,0.13,17,0.25,20,156,2.29,12,270,0.956,0.18,0,0,0,0,0,0
2025,3,"Voorhees, Addison",18,12,1,35.5,1.97,32,1.78,21,114,0.096,0,0,0,0,0,9,0.5,0,1,1,0,2,3,5,0.28,1,0
2025,4,"Burbach, Marly",6,3,0,3,0.5,0,0,0,6,0,36,6,3,0.5,1,14,2.33,0,0,0,0,0,0,0,0,0,0
2025,5,"Bishop, Caitlin",113,31,31,67,0.59,27,0.24,9,138,0.13,1397,12.36,28,0.25,19,303,2.68,0,7,1,0,2,20,22,0.19,9,0
2025,6,"Kohmetscher, Anna",10,7,0,1,0.1,0,0,0,1,0,0,0,1,0.1,4,3,0.3,0,0,0,0,0,0,0,0,0,0
2025,7,"Cassady, Bridget",92,27,9,230.5,2.51,217,2.36,90,668,0.19,1,0.01,0,0,0,92,1,9,91,0.901,0.1,5,17,22,0.24,2,0
2025,8,"Kellenberger, Aline",6,6,0,4.5,0.75,4,0.67,4,13,0,0,0,0,0,0,1,0.17,0,0,0,0,0,1,1,0.17,0,0
2025,9,"Johnson, Maggie",111,30,21,402.5,3.63,382,3.44,138,1028,0.237,1,0.01,0,0,0,46,0.41,12,105,0.886,0.11,12,17,29,0.26,4,0
2025,10,"Young, Brooklyn",21,9,1,43,2.05,41,1.95,30,151,0.073,0,0,0,0,0,12,0.57,1,13,0.923,0.05,0,4,4,0.19,0,0
2025,11,"Jackson, Iyannah",114,31,31,341,2.99,284,2.49,55,635,0.361,9,0.08,10,0.09,16,59,0.52,0,19,1,0,17,60,77,0.68,7,0
2025,12,"Weaver, Skylar",115,31,0,37,0.32,0,0,2,26,-0.077,132,1.15,37,0.32,31,613,5.33,13,562,0.977,0.11,0,0,0,0,0,0
2025,14,"Santel, Alayna",115,31,31,563,4.9,474,4.12,149,1095,0.297,12,0.1,49,0.43,54,264,2.3,17,380,0.955,0.15,10,60,70,0.61,8,1
2025,15,"Baker, Reese",114,31,14,23,0.2,0,0,0,7,0,10,0.09,23,0.2,13,147,1.29,23,280,0.918,0.2,0,0,0,0,0,0
2025,17,"Copeland, Hannah",114,31,31,308,2.7,258,2.26,69,558,0.339,3,0.03,0,0,0,33,0.29,0,12,1,0,19,62,81,0.71,9,0
2024,2,"Edson, Rylee",106,28,24,32,0.3,3,0.03,1,9,0.222,11,0.1,29,0.27,32,277,2.61,27,591,0.954,0.25,0,0,0,0,0,1
2024,3,"Voorhees, Addison",81,23,20,250.5,3.09,226,2.79,109,669,0.175,1,0.01,0,0,0,38,0.47,12,68,0.824,0.15,15,19,34,0.42,3,2
2024,4,"Ayerite, Claudia",4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,2,1,0,0,0,0,0,0,0
2024,5,"Bishop, Caitlin",106,28,28,81.5,0.77,31,0.29,9,135,0.163,1285,12.12,39,0.37,27,266,2.51,0,1,1,0,2,19,21,0.2,4,3
2024,6,"Kohmetscher, Anna",2,2,0,3,1.5,3,1.5,3,7,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
2024,7,"Foster, Trysta",104,28,4,42,0.4,2,0.02,1,9,0.111,9,0.09,40,0.38,27,257,2.47,25,445,0.944,0.24,0,0,0,0,0,0
2024,8,"Kellenberger, Aline",7,7,0,1,0.14,1,0.14,0,5,0.2,0,0,0,0,1,2,0.29,0,0,0,0,0,0,0,0,0,0
2024,9,"Johnson, Maggie",78,24,6,176,2.26,167,2.14,99,583,0.117,2,0.03,0,0,0,45,0.58,7,73,0.904,0.09,4,10,14,0.18,2,0
2024,10,"Young, Brooklyn",69,21,2,164,2.38,151,2.19,86,463,0.14,2,0.03,0,0,0,40,0.58,6,89,0.933,0.09,9,8,17,0.25,3,0
2024,11,"Jackson, Iyannah",106,28,28,320,3.02,258,2.43,74,604,0.305,4,0.04,30,0.28,30,72,0.68,1,7,0.857,0.01,14,36,50,0.47,14,0
2024,12,"Weaver, Skylar",106,28,0,22,0.21,2,0.02,3,19,-0.053,75,0.71,20,0.19,27,545,5.14,22,499,0.956,0.21,0,0,0,0,0,0
2024,13,"Davis, Sydney",14,10,0,0,0,0,0,0,2,0,3,0.21,0,0,2,16,1.14,3,29,0.897,0.21,0,0,0,0,0,0
